"","Player_Names","Goals","Assists","Non.Penalty.Goals","Penalty.Kicks.Made","Penalty.Kicks.Attempted","Yellow.Cards","Red.Cards","xG","npxG","xA","npxG.xA","Goals.1","Shots.Total","Shots.on.target","Shots.on.target..","Goals.Shot","Goals.Shot.on.target","Average.Shot.Distance","Shots.from.free.kicks","Penalty.Kicks.Made.1","Penalty.Kicks.Attempted.1","xG.1","npxG.1","npxG.Sh","Goals...xG","Non.Penalty.Goals...npxG","Passes.Completed","Passes.Attempted","Pass.Completion..","Total.Passing.Distance","Progressive.Passing.Distance","Passes.Completed..Short.","Passes.Attempted..Short.","Pass.Completion....Short.","Passes.Completed..Medium.","Passes.Attempted..Medium.","Pass.Completion....Medium.","Passes.Completed..Long.","Passes.Attempted..Long.","Pass.Completion....Long.","Assists.1","xA.1","Key.Passes","Passes.into.Final.Third","Passes.into.Penalty.Area","Crosses.into.Penalty.Area","Progressive.Passes","Passes.Attempted.1","Live.ball.passes","Dead.ball.passes","Passes.from.Free.Kicks","Through.Balls","Passes.Under.Pressure","Switches","Crosses","Corner.Kicks","Inswinging.Corner.Kicks","Outswinging.Corner.Kicks","Straight.Corner.Kicks","Ground.passes","Low.Passes","High.Passes","Passes.Attempted..Left.","Passes.Attempted..Right.","Passes.Attempted..Head.","Throw.Ins.taken","Passes.Attempted..Other.","Passes.Completed.1","Passes.Offside","Passes.Out.of.Bounds","Passes.Intercepted","Passes.Blocked","Shot.Creating.Actions","SCA..PassLive.","SCA..PassDead.","SCA..Drib.","SCA..Sh.","SCA..Fld.","SCA..Def.","Goal.Creating.Actions","GCA..PassLive.","GCA..PassDead.","GCA..Drib.","GCA..Sh.","GCA..Fld.","GCA..Def.","Tackles","Tackles.Won","Tackles..Def.3rd.","Tackles..Mid.3rd.","Tackles..Att.3rd.","Dribblers.Tackled","Dribbles.Contested","X..of.dribblers.tackled","Dribbled.Past","Pressures","Successful.Pressures","Successful.Pressure..","Pressures..Def.3rd.","Pressures..Mid.3rd.","Pressures..Att.3rd.","Blocks","Shots.Blocked","Shots.Saved","Passes.Blocked.1","Interceptions","Tkl.Int","Clearances","Errors","Touches","Touches..Def.Pen.","Touches..Def.3rd.","Touches..Mid.3rd.","Touches..Att.3rd.","Touches..Att.Pen.","Touches..Live.Ball.","Dribbles.Completed","Dribbles.Attempted","Successful.Dribble..","Players.Dribbled.Past","Nutmegs","Carries","Total.Carrying.Distance","Progressive.Carrying.Distance","Progressive.Carries","Carries.into.Final.Third","Carries.into.Penalty.Area","Miscontrols","Dispossessed","Pass.Targets","Passes.Received","Passes.Received..","Progressive.Passes.Rec","Yellow.Cards.1","Red.Cards.1","Second.Yellow.Card","Fouls.Committed","Fouls.Drawn","Offsides","Crosses.1","Interceptions.1","Tackles.Won.1","Penalty.Kicks.Won","Penalty.Kicks.Conceded","Own.Goals","Ball.Recoveries","Aerials.won","Aerials.lost","X..of.Aerials.Won","Player_valuation"
"1","Aaron Cresswell","  0.03","  0.21","  0.03","  0.00","  0.00","  0.09","  0.00","  0.03","  0.03","  0.17","  0.20","  0.03","  0.52","  0.06"," 11.80","  0.06","  0.50"," 22.50","  0.28","  0.00","  0.00","  0.03","  0.03","  0.06","  0.00","  0.00"," 52.79"," 66.86"," 79.00","982.06","438.17"," 23.70"," 25.78"," 91.90"," 21.92"," 25.66"," 85.40","  6.56"," 13.33"," 49.20","  0.21","  0.17","  1.84","  4.11","  1.13","  0.40","  5.24"," 66.86"," 53.25"," 13.61","  2.15","  0.00","  6.44","  2.18","  2.42","  2.45","  0.80","  1.47","  0.09"," 38.53"," 12.78"," 15.54"," 51.22","  3.95","  1.56","  9.01","  0.25"," 52.79","  0.34","  1.10","  2.08","  2.05","  2.61","  1.26","  1.26","  0.00","  0.09","  0.00","  0.00","  0.37","  0.12","  0.21","  0.00","  0.03","  0.00","  0.00","  1.01","  0.55","  0.67","  0.28","  0.06","  0.49","  1.07"," 45.70","  0.58","  6.93","  2.36"," 34.10","  3.28","  2.82","  0.83","  1.38","  0.43","  0.00","  0.95","  1.41","  2.42","  2.57","  0.00"," 74.61","  4.05"," 20.97"," 35.07"," 22.62","  1.04"," 61.00","  0.15","  0.58"," 26.30","  0.15","  0.06"," 43.28","189.17"," 95.98","  3.71","  1.59","  0.09","  0.25","  0.31"," 47.57"," 45.46"," 95.60","  1.04","  0.09","  0.00","  0.00","  0.71","  0.46","  0.06","  2.42","  1.41","  0.55","  0.00","  0.03","  0.00","  7.85","  1.23","  0.77"," 61.50",4000000
"2","Aaron Hickey","  0.19","  0.05","  0.19","  0.00","  0.00","  0.24","  0.00","  0.03","  0.03","  0.04","  0.07","  0.19","  0.87","  0.53"," 61.10","  0.22","  0.36"," 22.40","  0.00","  0.00","  0.00","  0.03","  0.03","  0.04","  0.16","  0.16"," 34.53"," 41.67"," 82.90","532.91","146.72"," 19.10"," 20.84"," 91.70"," 12.83"," 15.68"," 81.80","  1.93","  3.52"," 54.80","  0.05","  0.04","  0.68","  0.82","  0.48","  0.19","  1.40"," 41.67"," 33.38","  8.30","  0.82","  0.00","  6.08","  0.39","  1.30","  0.00","  0.00","  0.00","  0.00"," 28.31","  7.81","  5.55"," 20.26"," 12.68","  1.01","  7.48","  0.10"," 34.53","  0.10","  0.29","  1.06","  0.72","  1.40","  1.21","  0.05","  0.05","  0.00","  0.05","  0.05","  0.14","  0.14","  0.00","  0.00","  0.00","  0.00","  0.00","  1.35","  0.63","  0.58","  0.43","  0.34","  0.39","  0.77"," 50.00","  0.39"," 13.02","  3.62"," 27.80","  5.88","  4.53","  2.60","  2.12","  0.48","  0.00","  1.64","  1.21","  2.56","  1.30","  0.00"," 52.43","  2.99"," 16.25"," 23.01"," 16.45","  1.06"," 44.47","  1.16","  1.98"," 58.50","  1.35","  0.05"," 34.15","172.33"," 93.28","  4.10","  1.06","  0.43","  0.92","  0.77"," 36.32"," 31.45"," 86.60","  2.65","  0.24","  0.00","  0.00","  1.40","  2.60","  0.10","  1.30","  1.21","  0.63","  0.00","  0.00","  0.00","  6.08","  0.48","  1.06"," 31.30",13000000
"3","Aaron Lennon","  0.20","  0.00","  0.20","  0.00","  0.00","  0.20","  0.00","  0.07","  0.07","  0.01","  0.08","  0.20","  0.71","  0.20"," 28.60","  0.29","  1.00"," 22.70","  0.00","  0.00","  0.00","  0.07","  0.07","  0.09","  0.13","  0.13"," 13.71"," 19.75"," 69.40","210.24"," 51.20","  8.06","  9.78"," 82.50","  4.33","  5.95"," 72.90","  1.01","  2.72"," 37.00","  0.00","  0.01","  0.30","  0.60","  0.30","  0.10","  1.11"," 19.75"," 19.25","  0.50","  0.00","  0.00","  4.13","  0.50","  1.61","  0.00","  0.00","  0.00","  0.00"," 12.50","  2.92","  4.33","  1.41"," 16.83","  0.60","  0.30","  0.00"," 13.71","  0.30","  0.50","  0.60","  1.11","  1.51","  0.81","  0.00","  0.20","  0.00","  0.50","  0.00","  0.40","  0.10","  0.00","  0.10","  0.00","  0.20","  0.00","  2.42","  1.01","  0.60","  1.11","  0.71","  0.50","  2.42"," 20.80","  1.91"," 23.28","  5.04"," 21.60","  6.65","  9.47","  7.16","  2.22","  0.30","  0.00","  1.91","  0.71","  3.12","  0.71","  0.00"," 31.04","  1.41","  5.34"," 13.40"," 14.21","  2.02"," 30.54","  0.81","  2.22"," 36.40","  1.01","  0.10"," 19.15"," 95.24"," 49.48","  2.42","  0.81","  0.91","  1.21","  1.11"," 26.10"," 18.54"," 71.00","  2.72","  0.20","  0.00","  0.00","  1.71","  1.21","  0.40","  1.61","  0.71","  1.01","  0.00","  0.00","  0.00","  4.64","  0.71","  1.31"," 35.00",1000000
"4","Aarón Martín","  0.03","  0.14","  0.03","  0.00","  0.00","  0.14","  0.00","  0.03","  0.03","  0.14","  0.17","  0.03","  0.68","  0.14"," 20.00","  0.05","  0.25"," 22.60","  0.14","  0.00","  0.00","  0.03","  0.03","  0.04","  0.01","  0.01"," 33.77"," 45.97"," 73.50","620.63","229.21"," 15.64"," 17.58"," 89.00"," 12.95"," 16.32"," 79.30","  4.50"," 10.29"," 43.70","  0.14","  0.14","  1.57","  2.08","  0.92","  0.61","  2.69"," 45.97"," 36.67","  9.30","  1.06","  0.07","  5.35","  1.60","  3.27","  2.28","  1.02","  0.99","  0.03"," 25.93","  8.59"," 11.45"," 36.12","  2.79","  0.78","  5.96","  0.07"," 33.77","  0.17","  0.51","  1.81","  1.60","  2.15","  1.33","  0.68","  0.00","  0.07","  0.03","  0.03","  0.17","  0.14","  0.03","  0.00","  0.00","  0.00","  0.00","  2.28","  1.06","  1.30","  0.78","  0.20","  0.82","  1.84"," 44.40","  1.02"," 13.73","  4.19"," 30.50","  5.45","  6.10","  2.18","  1.40","  0.24","  0.00","  1.16","  1.23","  3.51","  2.32","  0.00"," 55.48","  2.32"," 15.81"," 25.25"," 17.62","  1.09"," 46.18","  0.89","  1.53"," 57.80","  0.99","  0.00"," 32.65","151.44"," 81.48","  3.61","  1.30","  0.10","  0.51","  0.58"," 35.20"," 31.52"," 89.50","  1.70","  0.14","  0.00","  0.00","  1.64","  0.82","  0.10","  3.27","  1.23","  1.06","  0.00","  0.00","  0.00","  6.61","  0.65","  1.30"," 33.30",5000000
"5","Aaron Wan-Bissaka","  0.00","  0.08","  0.00","  0.00","  0.00","  0.13","  0.03","  0.01","  0.01","  0.06","  0.07","  0.00","  0.21","  0.08"," 37.50","  0.00","  0.00"," 15.00","  0.00","  0.00","  0.00","  0.01","  0.01","  0.04"," -0.01"," -0.01"," 52.19"," 60.72"," 86.00","802.89","265.38"," 28.97"," 31.36"," 92.40"," 19.08"," 21.67"," 88.00","  2.78","  4.72"," 58.90","  0.08","  0.06","  0.79","  2.39","  0.89","  0.42","  3.10"," 60.72"," 51.80","  8.92","  0.68","  0.03","  7.06","  0.84","  1.65","  0.00","  0.00","  0.00","  0.00"," 44.08"," 11.20","  5.43","  3.04"," 47.49","  1.34","  8.24","  0.13"," 52.19","  0.05","  0.45","  1.84","  1.60","  1.71","  1.39","  0.05","  0.11","  0.05","  0.03","  0.08","  0.13","  0.11","  0.00","  0.00","  0.03","  0.00","  0.00","  2.28","  1.31","  1.31","  0.55","  0.42","  0.42","  0.87"," 48.50","  0.45"," 11.94","  3.67"," 30.80","  5.27","  4.30","  2.36","  2.68","  0.52","  0.03","  2.15","  2.60","  4.88","  2.83","  0.00"," 73.23","  3.99"," 24.22"," 33.22"," 20.68","  1.10"," 64.47","  1.76","  2.60"," 67.70","  1.78","  0.16"," 46.65","228.57","132.82","  5.09","  1.86","  0.13","  0.60","  1.02"," 47.78"," 44.32"," 92.80","  1.78","  0.13","  0.03","  0.00","  0.84","  0.79","  0.03","  1.65","  2.60","  1.31","  0.00","  0.03","  0.00","  8.29","  0.87","  1.18"," 42.30",38000000
"6","Abdessamad Ezzalzouli","  0.16","  0.00","  0.16","  0.00","  0.00","  0.62","  0.00","  0.20","  0.20","  0.09","  0.29","  0.16","  2.48","  0.47"," 18.80","  0.06","  0.33"," 16.20","  0.00","  0.00","  0.00","  0.20","  0.20","  0.08"," -0.05"," -0.05"," 21.41"," 29.33"," 73.00","276.67"," 43.76"," 16.29"," 18.93"," 86.10","  3.26","  5.28"," 61.80","  1.09","  2.33"," 46.70","  0.00","  0.09","  0.78","  0.31","  0.47","  0.16","  1.40"," 29.33"," 28.55","  0.78","  0.16","  0.00","  5.43","  0.62","  3.26","  0.16","  0.00","  0.00","  0.00"," 21.88","  3.88","  3.57","  4.34"," 23.28","  0.62","  0.47","  0.31"," 21.41","  0.00","  0.00","  1.71","  1.40","  1.71","  0.93","  0.00","  0.31","  0.16","  0.16","  0.16","  0.16","  0.00","  0.00","  0.00","  0.16","  0.00","  0.00","  2.33","  1.55","  1.40","  0.62","  0.31","  0.78","  1.24"," 62.50","  0.47"," 15.67","  5.12"," 32.70","  4.34","  6.05","  5.28","  0.93","  0.00","  0.00","  0.93","  1.71","  4.03","  0.00","  0.00"," 47.48","  0.00","  7.14"," 15.83"," 30.26","  9.31"," 46.71","  4.50","  7.29"," 61.70","  4.66","  0.31"," 42.36","282.26","192.72","  9.16","  2.64","  3.57","  3.72","  3.41"," 46.09"," 35.53"," 77.10","  7.76","  0.62","  0.00","  0.00","  2.64","  2.95","  0.31","  3.26","  1.71","  1.55","  0.00","  0.00","  0.00","  5.74","  0.47","  2.17"," 17.60",8000000
"7","Abdou Diallo","   0.00","   0.06","   0.00","   0.00","   0.00","   0.11","   0.00","   0.01","   0.01","   0.03","   0.04","   0.00","   0.11","   0.06","  50.00","   0.00","   0.00","  12.90","   0.00","   0.00","   0.00","   0.01","   0.01","   0.09","  -0.01","  -0.01","  59.30","  67.18","  88.30","1016.43"," 391.43","  29.70","  31.65","  93.90","  23.43","  25.93","  90.40","   5.44","   8.16","  66.70","   0.06","   0.03","   0.28","   3.50","   0.72","   0.28","   4.66","  67.18","  59.63","   7.55","   1.28","   0.11","   6.55","   1.33","   1.33","   0.00","   0.00","   0.00","   0.00","  51.30","   9.16","   6.72","  52.63","   6.11","   1.39","   6.27","   0.11","  59.30","   0.06","   0.50","   1.72","   0.89","   0.56","   0.50","   0.00","   0.06","   0.00","   0.00","   0.00","   0.11","   0.11","   0.00","   0.00","   0.00","   0.00","   0.00","   2.55","   1.67","   1.39","   0.78","   0.39","   1.00","   1.89","  52.90","   0.89","  12.71","   4.11","  32.30","   5.11","   5.50","   2.11","   1.67","   0.33","   0.00","   1.33","   2.00","   4.55","   2.11","   0.06","  77.67","   5.44","  26.65","  40.53","  15.93","   0.61","  70.18","   1.72","   2.94","  58.50","   1.89","   0.00","  53.97"," 251.18"," 146.52","   5.00","   1.67","   0.17","   1.00","   0.83","  55.24","  53.36","  96.60","   0.94","   0.11","   0.00","   0.00","   1.50","   0.22","   0.06","   1.33","   2.00","   1.67","   0.00","   0.00","   0.00","   7.22","   1.05","   0.50","  67.90",25000000
"8","Abdoulaye Doucouré","  0.10","  0.19","  0.10","  0.00","  0.00","  0.19","  0.00","  0.10","  0.10","  0.06","  0.16","  0.10","  1.29","  0.29"," 22.20","  0.07","  0.33"," 16.40","  0.00","  0.00","  0.00","  0.10","  0.10","  0.08","  0.00","  0.00"," 33.24"," 41.38"," 80.30","587.37","125.35"," 14.75"," 17.53"," 84.20"," 13.99"," 16.33"," 85.60","  3.45","  4.69"," 73.50","  0.19","  0.06","  0.62","  2.83","  0.91","  0.05","  3.64"," 41.38"," 40.67","  0.72","  0.62","  0.10","  8.72","  0.62","  0.24","  0.00","  0.00","  0.00","  0.00"," 30.56","  6.04","  4.79","  4.31"," 33.43","  2.30","  0.05","  0.05"," 33.24","  0.05","  0.62","  1.77","  1.63","  2.16","  1.82","  0.05","  0.05","  0.14","  0.00","  0.10","  0.29","  0.19","  0.00","  0.05","  0.05","  0.00","  0.00","  2.35","  1.53","  1.01","  1.20","  0.14","  1.05","  2.39"," 44.00","  1.34"," 22.61","  6.71"," 29.70","  9.05","  9.53","  4.02","  1.34","  0.14","  0.00","  1.20","  1.72","  4.07","  1.10","  0.00"," 51.59","  2.54"," 13.51"," 28.83"," 12.79","  1.82"," 50.92","  0.91","  1.77"," 51.40","  0.96","  0.00"," 31.80","166.88"," 90.14","  3.16","  1.34","  0.19","  1.01","  0.81"," 35.97"," 30.65"," 85.20","  2.39","  0.19","  0.00","  0.00","  1.58","  0.72","  0.05","  0.24","  1.72","  1.53","  0.00","  0.00","  0.00"," 11.78","  1.48","  1.53"," 49.20",25000000
"9","Abdoulaye Touré","  0.11","  0.11","  0.11","  0.00","  0.00","  0.11","  0.00","  0.14","  0.14","  0.11","  0.25","  0.11","  1.39","  0.32"," 23.10","  0.08","  0.33"," 20.30","  0.00","  0.00","  0.00","  0.14","  0.14","  0.10"," -0.03"," -0.03"," 30.93"," 37.88"," 81.60","514.53","108.41"," 15.95"," 17.55"," 90.90"," 11.56"," 14.88"," 77.70","  2.89","  4.28"," 67.50","  0.11","  0.11","  0.54","  2.78","  0.21","  0.00","  2.68"," 37.88"," 37.56","  0.32","  0.21","  0.21","  6.31","  0.43","  0.43","  0.00","  0.00","  0.00","  0.00"," 27.29","  4.92","  5.67","  8.78"," 25.26","  2.57","  0.11","  0.11"," 30.93","  0.00","  0.96","  1.71","  0.43","  1.61","  1.28","  0.00","  0.21","  0.00","  0.11","  0.00","  0.21","  0.21","  0.00","  0.00","  0.00","  0.00","  0.00","  1.50","  0.86","  0.86","  0.64","  0.00","  0.64","  1.71"," 37.50","  1.07"," 19.16","  4.71"," 24.60","  5.35"," 10.81","  3.00","  2.03","  0.21","  0.00","  1.82","  1.39","  2.89","  1.93","  0.00"," 49.55","  2.03","  9.63"," 30.07"," 12.31","  1.18"," 49.23","  0.96","  1.93"," 50.00","  1.07","  0.11"," 29.43","136.87"," 55.54","  3.10","  1.39","  0.21","  0.54","  0.86"," 35.64"," 30.39"," 85.30","  0.64","  0.11","  0.00","  0.00","  0.86","  1.93","  0.00","  0.43","  1.39","  0.86","  0.00","  0.11","  0.00"," 10.59","  2.03","  1.39"," 59.40",3500000
"10","Aboubacar Ouattara","  0.00","  0.00","  0.00","  0.00","  0.00","  0.38","  0.00","  0.15","  0.15","  0.06","  0.21","  0.00","  2.25","  0.56"," 25.00","  0.00","  0.00"," 18.00","  0.00","  0.00","  0.00","  0.15","  0.15","  0.06"," -0.15"," -0.15"," 20.44"," 33.38"," 61.20","354.38"," 84.75","  9.94"," 15.00"," 66.30","  6.75"," 11.06"," 61.00","  3.00","  5.25"," 57.10","  0.00","  0.06","  0.94","  0.75","  0.94","  0.38","  2.06"," 33.38"," 32.44","  0.94","  0.00","  0.00","  7.50","  0.00","  2.44","  0.00","  0.00","  0.00","  0.00"," 19.88","  7.69","  5.81"," 18.56","  8.63","  3.38","  0.75","  0.19"," 20.44","  0.19","  0.94","  2.25","  2.44","  2.25","  1.69","  0.00","  0.00","  0.00","  0.38","  0.19","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.75","  1.88","  1.13","  2.44","  0.19","  1.50","  2.44"," 61.50","  0.94"," 22.31","  5.63"," 25.20","  6.19","  9.94","  6.19","  1.88","  0.00","  0.00","  1.88","  1.50","  5.25","  1.88","  0.19"," 51.19","  3.56"," 11.44"," 21.56"," 20.81","  4.31"," 50.44","  1.88","  2.81"," 66.70","  1.88","  0.00"," 28.13","167.81"," 83.44","  4.31","  0.56","  0.75","  2.25","  1.31"," 44.06"," 30.56"," 69.40","  6.56","  0.38","  0.00","  0.00","  2.44","  2.06","  0.00","  2.44","  1.50","  1.88","  0.00","  0.00","  0.00","  9.19","  2.25","  2.81"," 44.40",500000
